search_term,source_website,JobId,Company,Title,Description,job_type,experience,domain,salary,PostedDate,ApplyUrl,City,State,Country
Data Engineer,BuiltIn,2944482,Capital One,"Senior Data Engineer - Principal Associate (Spark, Scala, AWS)","Seeking a Senior Data Engineer - Principal Associate with expertise in Java, Scala, and Python. Collaborate with Agile teams to design, develop, and implement technical solutions using various technologies. Opportunity to work on cloud-based solutions and drive transformation within the company.",Hybrid,3-5 Years of Experience,Fintech • Machine Learning • Payments • Software • Financial Services,N/A,2024-07-18,https://builtin.com/job/senior-data-engineer-principal-associate-spark-scala-aws/2944482,Chicago, IL,US
Data Engineer,BuiltIn,2951287,JPMorganChase,Finance Technology - Cloud Lead Data Engineer,"As a Lead Data Engineer at JPMorgan Chase, responsible for data collection, storage, access, and analytics solutions in a secure, stable, and scalable way. Generates data models, implements data platforms, and evaluates access control processes. Requires 5+ years of experience in data engineering concepts.",Hybrid,5-7 Years of Experience,Financial Services,N/A,2024-07-19,https://builtin.com/job/finance-technology-cloud-lead-data-engineer/2951287,Wilmington, DE,US
Data Engineer,BuiltIn,2950328,Capgemini,Product Software Engineer - Data Engineer,"As a Data Engineer on the Insurance Tech Platform team at Capgemini, you will collaborate with various teams to craft high-quality products, build efficient backend components, and drive standard processes. Key responsibilities include working with big data technologies, analyzing data sets, and architecting scalable solutions.",InPerson,3-5 Years of Experience,Information Technology,N/A,2024-07-19,https://builtin.com/job/product-software-engineer-data-engineer/2950328,Atlanta, GA,US
Data Engineer,BuiltIn,2946611,The New York Times,"Data Engineer, Algorithmic Targeting","Join The New York Times as a Data Engineer in the Algorithmic Targeting team. Build infrastructure for machine learning modeling, collaborate with data scientists, deploy machine learning models, and contribute to real-time algorithms. Work on ETL data pipelines and support the mission of journalistic independence.",InPerson,1-3 Years of Experience,Digital Media • News + Entertainment,104K-130K Annually,2024-07-18,https://builtin.com/job/data-engineer-algorithmic-targeting/2946611,New York, NY,US
Data Engineer,BuiltIn,2947785,Pinnacol Assurance,Data Engineer,"As a Data Engineer at Pinnacol Assurance, you will be responsible for designing and developing data solutions in a Google Cloud Platform environment. Your role will involve building new data products, ensuring data security and privacy, and enhancing platform capabilities to support the organization's growth. Successful candidates should have knowledge of data engineering best practices and experience in cloud environments, ETL/ELT tooling, container technologies, and cloud-based data storage.",Hybrid,3-5 Years of Experience,Big Data • Fintech • Healthtech • Insurance • Financial Services,123K-129K Annually,2024-07-18,https://builtin.com/job/data-engineer/2947785,Denver, CO,US
Data Engineer,BuiltIn,2949351,Tata Consultancy Services,GCP Data Engineer,"Seeking a GCP Data Engineer with 5+ years of experience in Data Engineering, proficient in Python development, and experienced with Google Cloud Big Query. Must have knowledge in distributed architectures, ETL, EDW, and Big Data technologies.",InPerson,3-5 Years of Experience,Information Technology • Consulting,N/A,2024-07-19,https://builtin.com/job/gcp-data-engineer/2949351,Richardson, TX,US
Data Engineer,BuiltIn,2950359,HII(Huntington Ingalls Industries),Data Engineer (Hybrid) - 19888,"Enlighten is seeking a Data Engineer to support the acquisition of mission critical and mission support data sets. The ideal candidate will have experience with big data systems, complex data sets, and government data acquisition. This role requires a TS/SCI security clearance and proficiency in programming languages such as Python and Java.",InPerson,5-7 Years of Experience,Artificial Intelligence • Machine Learning • Defense,N/A,2024-07-19,https://builtin.com/job/data-engineer-hybrid-19888/2950359,San Antonio, TX,US
Data Engineer,BuiltIn,2949836,Infosys,Snowflake Data Engineer,"Infosys is seeking a Snowflake Data Engineer to interface with stakeholders, lead design activities, deliver code, and support testing. Required qualifications include BI and data warehousing experience, SQL proficiency, ETL pipeline development, Python scripting, and communication skills. Preferred qualifications include working with large data volumes and leading offshore teams. The role may require travel within the US.",InPerson,1-3 Years of Experience,Information Technology,N/A,2024-07-19,https://builtin.com/job/snowflake-data-engineer/2949836,Austin, TX,US
Data Engineer,BuiltIn,2950369,HII(Huntington Ingalls Industries),Data Engineer (Hybrid) - 19877,"Enlighten is seeking a talented Data Engineer with experience in big data systems, cyber capabilities, and network data acquisition. The role involves supporting government data initiatives in a hybrid work environment, with a focus on technical problem-solving and data analytics.",InPerson,5-7 Years of Experience,Artificial Intelligence • Machine Learning • Defense,N/A,2024-07-19,https://builtin.com/job/data-engineer-hybrid-19877/2950369,Fort Meade, MD,US
Data Engineer,BuiltIn,2948623,Belcan,Data Engineer V,"The Data Engineer V position at Belcan involves working in a large and complex data warehouse environment to develop and support data warehouse solutions for customers. Responsibilities include designing and implementing data storage and reporting platforms, working with AWS Cloud and engineering tools, and collaborating with business customers for analytical needs.",InPerson,7+ Years of Experience,Information Technology • Software,N/A,2024-07-19,https://builtin.com/job/data-engineer-v/2948623,New York, NY,US
Data Engineer,BuiltIn,2938806,Captivation Software,Data Engineer - Python/Java/Kibana/Elasticsearch/JSON/XML,"Captivation Software is seeking a Data Engineer to design and implement data solutions for mission-critical and mission support data sets in the military space. The role involves building and optimizing data pipelines and analytics systems, working with large and complex data sets, and staying updated on emerging technologies in data engineering and analytics.",InPerson,5-7 Years of Experience,Software,130K-270K Annually,2024-07-18,https://builtin.com/job/data-engineer-pythonjavakibanaelasticsearchjsonxml/2938806,Columbia, MD,US
Data Engineer,BuiltIn,2950454,FORVIS,Data Engineer II,"As a Data Engineer II at Forvis Mazars, you will be responsible for building data pipelines, supporting infrastructure, and analyzing enterprise data. Collaborate with teams to understand technical and business problems and maintain an enterprise-perspective in solution development. Support data quality, data lineage, and data management infrastructure.",InPerson,3-5 Years of Experience,Professional Services • Consulting • Financial Services,99K-178K Annually,2024-07-19,https://builtin.com/job/data-engineer-ii/2950454,Charlotte, NC,US
Data Engineer,BuiltIn,2949368,Love's Travel Stops,Data Engineer,"The Data Engineer at Love's Travel Stops will design, build, and optimize data pipelines, provide architectural input, manage various data architectures, analyze large datasets, and drive innovative solutions. Required expertise in cloud data warehouses, complex SQL, DevOps, ETL tools, and Python skills.",InPerson,3-5 Years of Experience,Retail,N/A,2024-07-19,https://builtin.com/job/data-engineer/2949368,Houston, TX,US
Data Engineer,BuiltIn,2949818,Apple,Senior Geospatial Data Engineer,"Seeking a Senior Geospatial Data Engineer to join the Data Evaluation team at Apple Maps. Responsibilities include automating data quality measurements, designing geospatial databases, collaborating with data scientists, and integrating geospatial data with AWS services.",InPerson,5-7 Years of Experience,Consumer Web • Hardware • Software,N/A,2024-07-19,https://builtin.com/job/senior-geospatial-data-engineer/2949818,Cupertino, CA,US
Data Engineer,BuiltIn,2938523,NBCUniversal,Sr. Data Engineer - SAP (BW/BPC),"The Sr. Data Engineer, SAP (BW/BPC) at NBCUniversal is responsible for maintaining and enhancing SAP BW/BPC Systems, integrating with other systems, and supporting business adoption of solutions. This role involves designing and delivering high-quality technical solutions for Finance/BPC/HR Reporting, collaborating with business partners, and troubleshooting complex interfaces.","Remote, Hybrid",5-7 Years of Experience,AdTech • Cloud • Digital Media • Information Technology • News + Entertainment • App development,115K-145K Annually,2024-07-18,https://builtin.com/job/sr-data-engineer-sap-bwbpc/2938523,Central, LA,US
Data Engineer,BuiltIn,2949505,EY,Data Engineer - Senior - Consulting - Location OPEN,"Design, architect, and develop solutions leveraging cloud big data technology to analyze large data sets. Unify, enrich, and analyze customer data to derive insights. Communicate findings and recommendations to improve data systems. Bachelor's or Master's degree in related field required. Hands-on experience with Python and SQL.",InPerson,3-5 Years of Experience,Other • Financial Services,106K-199K Annually,2024-07-19,https://builtin.com/job/data-engineer-senior-consulting-location-open/2949505,New York, NY,US
Data Engineer,BuiltIn,2944487,Capital One,"Senior Data Engineer - Principal Associate (Spark, Scala, AWS)","Collaborate with Agile teams to design, develop, test, and implement technical solutions using Java, Scala, Python, AWS, Redshift, and Snowflake. Work on machine learning, distributed microservices, and full-stack systems. Stay updated on tech trends and mentor team members. Deliver cloud-based solutions for financial empowerment. Perform unit tests and code reviews for performance optimization.",Hybrid,3-5 Years of Experience,Fintech • Machine Learning • Payments • Software • Financial Services,N/A,2024-07-18,https://builtin.com/job/senior-data-engineer-principal-associate-spark-scala-aws/2944487,McLean, VA,US
Data Engineer,BuiltIn,2944489,Capital One,"Senior Data Engineer - Principal Associate (Spark, Scala, AWS)","Collaborate with Agile teams to design, develop, test, and support technical solutions using full-stack development tools and technologies. Drive transformation within the company by staying on top of tech trends and delivering cloud-based solutions. Perform unit tests, code reviews, and mentor team members.",Hybrid,3-5 Years of Experience,Fintech • Machine Learning • Payments • Software • Financial Services,N/A,2024-07-18,https://builtin.com/job/senior-data-engineer-principal-associate-spark-scala-aws/2944489,Richmond, VA,US
Data Engineer,BuiltIn,2944483,Capital One,"Senior Data Engineer - Principal Associate (Spark, Scala, AWS)",Collaborate with Agile teams to design and develop technical solutions using full-stack development tools and technologies. Utilize programming languages and cloud services to drive transformation within Capital One. Perform unit tests and deliver cloud-based solutions for financial empowerment. Stay updated on tech trends and mentor engineering community members.,Hybrid,3-5 Years of Experience,Fintech • Machine Learning • Payments • Software • Financial Services,N/A,2024-07-18,https://builtin.com/job/senior-data-engineer-principal-associate-spark-scala-aws/2944483,Plano, TX,US
Data Engineer,BuiltIn,2950193,Arrowstreet Capital LP,Senior Cloud Data Engineer,"Design, deploy, and maintain scalable and secure cloud data solutions on AWS. Develop data pipelines, optimize data transformation processes, and implement Infrastructure as Code. Collaborate with teams on troubleshooting and continuous improvements in cloud services.",InPerson,5-7 Years of Experience,Financial Services,N/A,2024-07-19,https://builtin.com/job/senior-cloud-data-engineer/2950193,Boston, MA,US
Data Engineer,BuiltIn,2949838,Infosys,Azure and Databricks Cloud Data Engineer,"Seeking an Azure and Databricks Cloud Data Engineer to enable digital transformation for clients, research on technologies, recommend solutions, and contribute to best practices. Responsibilities include interacting with stakeholders and applying technical proficiency across the Software Development Life Cycle. Must have experience in end-to-end project implementations in Azure, Databricks, Python, PySpark, SQL, and strong knowledge of SQL and Unix shell scripting.",InPerson,3-5 Years of Experience,Information Technology,N/A,2024-07-19,https://builtin.com/job/azure-and-databricks-cloud-data-engineer/2949838,Richardson, NC,US
Data Engineer,BuiltIn,2947407,OKX,Data Engineer,"Responsible for offline and real-time data warehouse creation, risk data mart creation, data integrity enforcement, and scalability. Implementing batch and streaming data pipelines, performance tuning, troubleshooting, and advanced SQL/FlinkSQL features.",InPerson,3-5 Years of Experience,Financial Services,159K-239K Annually,2024-07-18,https://builtin.com/job/data-engineer/2947407,San Jose, CA,US
Data Engineer,BuiltIn,2941877,Esri,Product Engineer II - ArcGIS Data Engineer,"As a Product Engineer II at Esri, you will work on building ArcGIS Living Atlas of the World by creating data migration workflows and information products from real-time data sources. Responsibilities include collaborating with teams, managing GIS systems, integrating new data sources, improving workflows, and troubleshooting issues. Required skills include Python, ArcGIS software expertise, data management, strong communication, and a bachelor's or master's degree in a related field.",InPerson,1-3 Years of Experience,Other • Software • Analytics,73K-125K Annually,2024-07-18,https://builtin.com/job/product-engineer-ii-arcgis-data-engineer/2941877,Redlands, CA,US
Data Engineer,BuiltIn,2938686,Tata Consultancy Services,Devops Data Engineer,"Looking for a DevOps Data Engineer with 8+ years of IT experience. Must have expertise in software engineering, automation, and DevOps environment. Skills in scripting languages, Gradle, Maven, Agile practices, and cloud deployments preferred.",InPerson,5-7 Years of Experience,Information Technology • Consulting,N/A,2024-07-18,https://builtin.com/job/devops-data-engineer/2938686,Cleveland, OH,US
Data Engineer,BuiltIn,2938678,Tata Consultancy Services,Azure Data Engineer,"Seeking an Azure Data Engineer with experience in data visualization, data cleaning, data manipulation, and tool usage of various technologies. Must have strong analytical skills, root cause analysis experience, and excellent communication abilities. Familiarity with the Azure Cloud ecosystem is required.",InPerson,3-5 Years of Experience,Information Technology • Consulting,N/A,2024-07-18,https://builtin.com/job/azure-data-engineer/2938678,Bellevue, WA,US
Data Engineer,BuiltIn,2938187,Interclypse,Data Engineer,"Responsible for designing, building, and maintaining data pipelines and infrastructure to support data-driven decisions and analytics. Collaborates with multiple teams to understand requirements and objectives. Monitors and optimizes data architecture and processing systems. Creates and updates documentation for data processes.",InPerson,3-5 Years of Experience,Hardware • Information Technology • Software • Consulting,N/A,2024-07-18,https://builtin.com/job/data-engineer/2938187,Annapolis, MD,US
Data Engineer,BuiltIn,2939909,Chubb,Lead Data Engineer,"Lead Data Engineer responsible for leading the architecture, design, development, and launch of solutions across the domain and platform in an insurance company",InPerson,5-7 Years of Experience,Insurance,117K-189K Annually,2024-07-18,https://builtin.com/job/lead-data-engineer/2939909,Jersey City, NJ,US
Data Engineer,BuiltIn,2947714,IPG Mediabrands,Senior Data Engineer,"Seeking a Senior Data Engineer to develop and maintain data architectures in Snowflake using Python and SQL, ensure data quality standards, optimize pipelines, and drive initiatives for new data collection. Must have 4+ years of experience with a strong track record in leading large-scale projects.",InPerson,3-5 Years of Experience,AdTech • Digital Media • Marketing Tech,175K-190K Annually,2024-07-18,https://builtin.com/job/senior-data-engineer/2947714,New York, NY,US
Data Engineer,BuiltIn,2946287,Publicis Groupe,Senior Data Engineer,"The Senior Data Engineer at Publicis Sapient is responsible for expertly using SQL Server Integration Services, Alteryx, and SQL to optimize performance and model financial data. Experience in finance and cloud platforms like AWS/Azure are required. Strong communication skills and Devops experience are a plus.",InPerson,5-7 Years of Experience,AdTech • Marketing Tech,103K-154K Annually,2024-07-18,https://builtin.com/job/senior-data-engineer/2946287,Irvine, CA,US
Data Engineer,BuiltIn,2939058,"Allied Consultants, Inc.",Lead Data Engineer,"Seeking an experienced Lead Data Engineer to play a key role in a technical services team. Responsibilities include data acquisition, SQL script development, automation with Informatica, collaboration on data design, and sprint participation. The role involves leading an agile development team through projects and supporting a Performance Portal pilot initiative.",InPerson,5-7 Years of Experience,Information Technology,N/A,2024-07-18,https://builtin.com/job/lead-data-engineer/2939058,Austin, TX,US
Data Engineer,BuiltIn,2948162,PwC,"Data Conversion Developer, Senior Associate","As a Senior Associate at PwC, the Data Conversion Developer will work on data analysis techniques, data conversion into Maximo, and management of Maximo modules. Required skills include Azure Data Engineer, Databricks Certified Data Engineer, and experience with relational databases like IBM DB2, Oracle, and Microsoft SQL Server.","Remote, Hybrid",3-5 Years of Experience,Artificial Intelligence • Professional Services • Business Intelligence • Consulting • Cybersecurity • Generative AI,N/A,2024-07-18,https://builtin.com/job/data-conversion-developer-senior-associate/2948162,Los Angeles, CA,US
Data Engineer,BuiltIn,2948462,Epsilon,Senior Data Engineer,"Seeking a Senior Data Engineer with expertise in SQL Server Integration Services, SQL databases, finance concepts, and cloud platforms. Strong communication skills and Devops experience preferred. Responsible for performance tuning ETLs and SQLs, data modelling, and more.",Hybrid,5-7 Years of Experience,AdTech • Digital Media • Marketing Tech,103K-154K Annually,2024-07-18,https://builtin.com/job/senior-data-engineer/2948462,Irvine, CA,US
Data Engineer,BuiltIn,2942026,Intelsat,Principal Data Warehouse Engineer,"Join the Data & Analytics team as a Principal Data Warehouse Engineer to design and develop scalable data pipelines and solutions in Snowflake and Oracle environments. Lead development efforts, collaborate with cross-functional teams, and ensure high-quality data transformation and cleansing. Required: Bachelor's degree in Information Systems or Computer Science, 10 years of IT developer experience, and expertise in Data Warehouse architecture, ETL processes, SQL, PL/SQL, and Python.",Hybrid,7+ Years of Experience,Aerospace • Information Technology • Internet of Things • Software,N/A,2024-07-18,https://builtin.com/job/principal-data-warehouse-engineer/2942026,McLean, VA,US
Data Engineer,BuiltIn,2941277,AEG,"LA Galaxy, Senior Data Engineer (On-Site)","Join the LA Galaxy's Technology and Data team as a Senior Data Engineer to implement, maintain, and enhance data solutions for business strategies and revenue streams, improve operations, and elevate fan experience. Collaborate with Senior Data Analyst and Senior Director of Analytics to ensure data usability and currency. Lead ETL tasks, data modeling, and code reviews. Design data visualizations and implement statistical or machine learning models. Continuously enhance software and data engineering skills.",InPerson,5-7 Years of Experience,News + Entertainment • eSports,120K-130K Annually,2024-07-18,https://builtin.com/job/la-galaxy-senior-data-engineer-site/2941277,Carson, CA,US
Data Engineer,BuiltIn,2949778,Ascend Learning,Sr Data Engineer,"Design, build, and maintain scalable data pipelines and architectures to enable data-driven decision-making. Collaborate with data scientists, analysts, and stakeholders to support advanced analytics initiatives. Ensure data availability, integrity, and performance of data systems.",InPerson,5-7 Years of Experience,Edtech,N/A,2024-07-19,https://builtin.com/job/sr-data-engineer/2949778,Leawood, KS,US
Data Engineer,BuiltIn,2949539,Mavensoft Technologies,"Sr. Data Engineer - Python, Spark, EMR","Develop and support data solutions for Sustainability reporting and analytics. Engage with product owner, technology lead, report developers, and business partners to understand requirements.",InPerson,5-7 Years of Experience,Information Technology • Software,N/A,2024-07-19,https://builtin.com/job/sr-data-engineer-python-spark-emr/2949539,Beaverton, OR,US
Data Engineer,BuiltIn,2940294,EXL,Senior Data Engineer,"Collaborate with business partners to identify opportunities in support of Pharmacy Personalization by leveraging real-time data processing technologies. Design highly scalable and extensible application platforms for processing massive data sets in real time. Define and maintain data architecture, provide recommendations on business relevance, and build real-time platforms and applications with a DevOps mindset.",InPerson,3-5 Years of Experience,Database,90K-120K Annually,2024-07-18,https://builtin.com/job/senior-data-engineer/2940294,Dallas, TX,US
Data Engineer,BuiltIn,2938134,Publix Super Markets,Lead Data Engineer - Supply Chain,"Lead design and development of data-oriented solutions involving Python and Databricks technologies for the Supply Chain team at Publix Super Markets, Inc.",InPerson,7+ Years of Experience,Retail,N/A,2024-07-18,https://builtin.com/job/lead-data-engineer-supply-chain/2938134,Lakeland, FL,US
Data Engineer,BuiltIn,2947482,FogPharma,Principal Data Product Engineer,"Seeking a Principal Data Engineer with 10 years of experience in life sciences and computer science to support the discovery and development platform for HeliconTM peptide drugs at FogPharma. Responsibilities include data capture, integration, reporting, computational insight delivery, and collaboration with cross-functional teams. Knowledge of scientific data management and machine learning models is required.",InPerson,3-5 Years of Experience,Healthtech • Biotech • Pharmaceutical,N/A,2024-07-18,https://builtin.com/job/principal-data-product-engineer/2947482,Cambridge, MA,US
Data Engineer,BuiltIn,2948752,Cargill,"Sr. Data Platform Engineer, Framework (Hybrid-Midtown- Atlanta, Georgia)","The Sr. Data Platform Engineer at Cargill will build and maintain data and analytics platforms for modern business applications, ensuring scalability and resilience. They will lead in designing, developing, and enhancing infrastructure components using modern software engineering practices. The role involves mentoring junior engineers and promoting adoption of new technologies.",InPerson,3-5 Years of Experience,Food,N/A,2024-07-19,https://builtin.com/job/sr-data-platform-engineer-framework-hybrid-midtown-atlanta-georgia/2948752,Atlanta, GA,US
Data Engineer,BuiltIn,2947647,Xebia,Azure Data + Fabric Engineer,"Senior Data Engineer with 8-10 years of overall experience and 3-5 years specialized experience in designing, implementing, and supporting Data Warehousing and Business Intelligence solutions on Microsoft Fabric data pipelines. Proficient in Azure Data Factory, Spark Notebooks, Spark SQL, and Python. Responsible for data ingestion, transformation, loading, troubleshooting, performance monitoring, hybrid cloud deployments, data security, infrastructure building, and following best practices.",InPerson,3-5 Years of Experience,Artificial Intelligence • Cloud • Information Technology • Software • Consulting • Data Privacy,N/A,2024-07-18,https://builtin.com/job/azure-data-fabric-engineer/2947647,Xenia, OH,US
Data Engineer,BuiltIn,2949195,CGI,ETL Informatica Developer,"The Senior ETL Informatica Developer will be responsible for designing, developing, and maintaining complex ETL solutions using Informatica PowerCenter. They will collaborate with cross-functional teams to analyze business requirements and implement scalable and efficient ETL processes.",InPerson,5-7 Years of Experience,Information Technology,86K-169K Annually,2024-07-19,https://builtin.com/job/etl-informatica-developer/2949195,Pittsburgh, PA,US
Data Engineer,BuiltIn,2939057,"Allied Consultants, Inc.",Senior ETL Developer,"Seeking a Senior ETL Developer to lead an agile development team in implementing and configuring a performance portal pilot initiative. Responsibilities include data acquisition, developing complex SQL scripts, automation with Informatica Power Center/IICS, collaborating with data engineering team, and participating in sprint ceremonies.",InPerson,5-7 Years of Experience,Information Technology,N/A,2024-07-18,https://builtin.com/job/senior-etl-developer/2939057,Austin, TX,US
Data Engineer,BuiltIn,2938208,Interclypse,ETL Engineer III,"Interclypse is seeking an ETL Engineer III with at least 6 years of ETL experience to work on transitioning software to a cloud-based solution. Responsibilities include maintaining existing software, working with a GOTS-based ETL system, and engineering planning for transitioning to a cloud-based solution. The role requires expertise in C#, Java, Perl, Oracle, SQL, Postgres, XML parsing, and Linux shell scripting.",InPerson,5-7 Years of Experience,Hardware • Information Technology • Software • Consulting,N/A,2024-07-18,https://builtin.com/job/etl-engineer-iii/2938208,Chantilly, VA,US
Data Engineer,BuiltIn,2949953,SAIC,Data Systems Engineer,"Seeking a Data Systems Engineer to perform operational data curation, develop data processes, troubleshoot data issues, and support data infrastructure needs. Requires TS/SCI clearance, Bachelor's with 8+ years or Master's with 5+ years of experience, fluency in SQL and Python or R, familiarity with Tidyverse packages and GitHub, and experience in data analysis for executive-level audiences.",InPerson,7+ Years of Experience,Aerospace • Information Technology • Software • Cybersecurity • Defense,N/A,2024-07-19,https://builtin.com/job/data-systems-engineer/2949953,Bethesda, MD,US
Data Engineer,BuiltIn,2941434,Slickdeals,"Sr. Data Infrastructure Engineer, Search & Discovery","As a Sr. Data Infrastructure Engineer at Slickdeals, you will work on the search, discovery, and shopping graph platform to enhance search and recommendation capabilities. Responsibilities include data lifecycle management, pipeline development, software deployment, and scaling big data technologies. You will contribute to improving data infrastructure quality with a focus on high standards and innovation.",Hybrid,7+ Years of Experience,Consumer Web • Digital Media • eCommerce,N/A,2024-07-18,https://builtin.com/job/sr-data-infrastructure-engineer-search-discovery/2941434,San Mateo, CA,US
Data Engineer,BuiltIn,2938143,Interclypse,Dataflow Engineer,Seeking a Dataflow Engineer to work with the team providing Data Flow Management for the data distribution team using Apache NiFi. This is an on-call position requiring prior data flow or NiFi dataflow engineering experience.,InPerson,3-5 Years of Experience,Hardware • Information Technology • Software • Consulting,N/A,2024-07-18,https://builtin.com/job/dataflow-engineer/2938143,Annapolis, MD,US
Data Engineer,BuiltIn,2938131,Interclypse,Dataflow Engineer,Seeking a Dataflow Engineer to work on data flow management using Apache NiFi for a large analytic cloud repository. Must have prior experience in data flow engineering and familiarity with data governance processes.,InPerson,3-5 Years of Experience,Hardware • Information Technology • Software • Consulting,N/A,2024-07-18,https://builtin.com/job/dataflow-engineer/2938131,San Antonio, TX,US
Data Engineer,BuiltIn,2939592,Epsilon,Senior Database Developer,"Implement, maintain, and support proprietary database systems. Develop data extraction, transformation, and load programs for large database projects. Work closely with internal teams to design solutions and implement programs.",Hybrid,5-7 Years of Experience,AdTech • Digital Media • Marketing Tech,N/A,2024-07-18,https://builtin.com/job/senior-database-developer/2939592,Irving, TX,US
